ProductKey;ProductName;ProductNew;OrderQuantity;UnitPrice;OrderDate
360;Mountain-200 Black, 42;;1;2049.0982;02.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;08.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;20.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;20.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;21.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;24.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;24.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;30.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;31.01.2018
360;Mountain-200 Black, 42;;1;2049.0982;05.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;06.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;08.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;10.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;12.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;12.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;13.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;20.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;21.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;24.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;26.02.2018
360;Mountain-200 Black, 42;;1;2049.0982;06.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;07.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;10.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;14.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;15.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;18.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;20.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;23.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;26.03.2018
360;Mountain-200 Black, 42;;1;2049.0982;26.03.2018
333;Road-650 Black, 58;;1;782.99;02.01.2018
333;Road-650 Black, 58;;1;782.99;06.01.2018
333;Road-650 Black, 58;;1;782.99;18.01.2018
333;Road-650 Black, 58;;1;782.99;19.01.2018
333;Road-650 Black, 58;;1;782.99;25.01.2018
333;Road-650 Black, 58;;1;782.99;30.01.2018
333;Road-650 Black, 58;;1;782.99;03.02.2018
333;Road-650 Black, 58;;1;782.99;09.02.2018
333;Road-650 Black, 58;;1;782.99;19.02.2018
333;Road-650 Black, 58;;1;782.99;01.03.2018
333;Road-650 Black, 58;;1;782.99;27.03.2018
333;Road-650 Black, 58;;1;782.99;27.03.2018
331;Road-650 Red, 52;;1;782.99;02.01.2018
331;Road-650 Red, 52;;1;782.99;11.01.2018
331;Road-650 Red, 52;;1;782.99;12.01.2018
331;Road-650 Red, 52;;1;782.99;14.01.2018
331;Road-650 Red, 52;;1;782.99;13.02.2018
331;Road-650 Red, 52;;1;782.99;27.02.2018
331;Road-650 Red, 52;;1;782.99;08.03.2018
331;Road-650 Red, 52;;1;782.99;14.03.2018
343;Road-650 Black, 52;;1;782.99;02.01.2018
343;Road-650 Black, 52;;1;782.99;08.01.2018
343;Road-650 Black, 52;;1;782.99;12.01.2018
343;Road-650 Black, 52;;1;782.99;14.01.2018
343;Road-650 Black, 52;;1;782.99;19.01.2018
343;Road-650 Black, 52;;1;782.99;24.01.2018
343;Road-650 Black, 52;;1;782.99;30.01.2018
343;Road-650 Black, 52;;1;782.99;25.02.2018
343;Road-650 Black, 52;;1;782.99;22.03.2018
343;Road-650 Black, 52;;1;782.99;25.03.2018
337;Road-650 Black, 62;;1;782.99;02.01.2018
337;Road-650 Black, 62;;1;782.99;20.01.2018
337;Road-650 Black, 62;;1;782.99;31.01.2018
337;Road-650 Black, 62;;1;782.99;16.02.2018
337;Road-650 Black, 62;;1;782.99;05.03.2018
337;Road-650 Black, 62;;1;782.99;12.03.2018
337;Road-650 Black, 62;;1;782.99;16.03.2018
337;Road-650 Black, 62;;1;782.99;25.03.2018
337;Road-650 Black, 62;;1;782.99;27.03.2018
371;Road-250 Red, 58;;1;2181.5625;02.01.2018
371;Road-250 Red, 58;;1;2181.5625;07.01.2018
371;Road-250 Red, 58;;1;2181.5625;07.01.2018
371;Road-250 Red, 58;;1;2181.5625;12.01.2018
371;Road-250 Red, 58;;1;2181.5625;13.01.2018
371;Road-250 Red, 58;;1;2181.5625;14.01.2018
371;Road-250 Red, 58;;1;2181.5625;15.01.2018
371;Road-250 Red, 58;;1;2181.5625;21.01.2018
371;Road-250 Red, 58;;1;2181.5625;21.01.2018
371;Road-250 Red, 58;;1;2181.5625;22.01.2018
371;Road-250 Red, 58;;1;2181.5625;22.01.2018
371;Road-250 Red, 58;;1;2181.5625;24.01.2018
371;Road-250 Red, 58;;1;2181.5625;26.01.2018
371;Road-250 Red, 58;;1;2181.5625;28.01.2018
371;Road-250 Red, 58;;1;2181.5625;29.01.2018
371;Road-250 Red, 58;;1;2181.5625;29.01.2018
371;Road-250 Red, 58;;1;2181.5625;31.01.2018
371;Road-250 Red, 58;;1;2181.5625;31.01.2018
371;Road-250 Red, 58;;1;2181.5625;03.02.2018
371;Road-250 Red, 58;;1;2181.5625;03.02.2018
371;Road-250 Red, 58;;1;2181.5625;07.02.2018
371;Road-250 Red, 58;;1;2181.5625;09.02.2018
371;Road-250 Red, 58;;1;2181.5625;16.02.2018
371;Road-250 Red, 58;;1;2181.5625;16.02.2018
371;Road-250 Red, 58;;1;2181.5625;23.02.2018
371;Road-250 Red, 58;;1;2181.5625;23.02.2018
371;Road-250 Red, 58;;1;2181.5625;24.02.2018
371;Road-250 Red, 58;;1;2181.5625;26.02.2018
371;Road-250 Red, 58;;1;2181.5625;28.02.2018
371;Road-250 Red, 58;;1;2181.5625;01.03.2018
371;Road-250 Red, 58;;1;2181.5625;01.03.2018
371;Road-250 Red, 58;;1;2181.5625;01.03.2018
371;Road-250 Red, 58;;1;2181.5625;02.03.2018
371;Road-250 Red, 58;;1;2181.5625;02.03.2018
371;Road-250 Red, 58;;1;2181.5625;08.03.2018
371;Road-250 Red, 58;;1;2181.5625;13.03.2018
